PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-15,30-SEP-16,As Submitted,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,2265536,,,.1369,,,387,141642,44473,12838,97665,,2397.43,,8529,3115,19632,191,,,,,,
010005,01-OCT-15,30-SEP-16,As Submitted,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,741069,,,.1241,,,204,74664,17977,6959,38875,,1113.2,,3659,1446,9406,,,,,,,
010007,01-OCT-15,30-SEP-16,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,44993,,,.0497,,,45,16470,3118,483,4450,,140.41,,764,159,1179,,,,24,,260,
010016,03-OCT-15,31-DEC-15,As Submitted,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,92156,,,.0643,,,212,19080,3588,1703,12514,,875.2,,731,473,2718,,,,65,,332,
010018,01-OCT-15,30-SEP-16,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,60834,,,,,,,43784,407784,12,4392,138,2,232,7.54,204.08,,37,1,64,,,,,,,
010019,01-OCT-15,30-SEP-16,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,662423,,,.1694,,,185,67710,11498,6711,25969,,654.6,,2653,2202,6507,,,,,,,
010021,01-OCT-15,30-SEP-16,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,107466,,,.12,,,77,28182,3618,1864,8067,,284.93,,678,343,1530,,,,27,,240,
010029,01-OCT-15,30-SEP-16,As Submitted,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,1409853,,,.1181,,,315,115290,34763,14130,76996,,2253.95,,5892,2691,14626,,,,,,,
010032,01-OCT-15,30-SEP-16,As Submitted,WEDOWEE HOSPITAL                        ,301 NORTH MAIN STREET                   ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,7371,,,.0587,,,34,12444,419,106,1302,,74.64,,127,39,323,,,,,,,
010033,01-OCT-15,30-SEP-16,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,21577558,,,6865159,,,.1926,7686420,3132209,1054,385663,81162,85077,311787,555.82,8554,,12839,11103,43655,,,,,38,2587,1245
010034,01-OCT-15,30-SEP-16,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,51448,,,.0762,,,37,13505,3240,622,6139,,224.48,,491,145,1111,,,,6,,168,
010040,01-OCT-15,30-SEP-16,As Submitted,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35999                                   ,ETOWAH                                  ,,,,1251047,,,.1241,,,225,82350,28580,11574,70009,,1105.02,,4976,2278,14190,,,,14,,299,
010044,01-OCT-15,30-SEP-16,As Submitted,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,22321,,,.0554,,,36,13176,3193,115,3966,,111.24,,322,38,482,,,,,,,
010045,01-OCT-15,30-SEP-16,As Submitted,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,34554,,,.0486,,,42,15372,3977,267,4998,,182.8,,513,89,831,,,,,,,
010051,01-OCT-15,30-SEP-16,As Submitted,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,14645,,,.12,,,20,7320,342,171,716,,93.42,,100,63,216,,,,,,,
010055,01-OCT-15,30-SEP-16,As Submitted,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,657713,,,.0727,,,235,86010,25025,6220,53315,,1088.42,,4850,1436,11380,,,,,,,
010058,01-OCT-15,30-SEP-16,As Submitted,BIBB MEDICAL CENTER                     ,165 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,21816,,,.12,,,25,9125,1879,776,4222,,124.38,,157,147,517,,,,,,,
010059,01-OCT-15,30-SEP-16,As Submitted,LAWRENCE MEDICAL CENTER                 ,202 HOSPITAL STREET                     ,,MOULTON                                 ,AL                                      ,35650-                                  ,LAWRENCE                                ,,,,31243,,,.0719,,,43,15738,2191,187,3003,,122.09,,358,58,639,,,,,,,
010061,01-OCT-15,30-SEP-16,As Submitted,HIGHLANDS MEDICAL CENTER                ,380 WOOD COVE ROAD                      ,1050                                    ,SCOTTSBORO                              ,AL                                      ,35768                                   ,JACKSON                                 ,,,,237267,,,.12,,,170,62220,6618,2747,11635,,398.45,,1489,957,3767,,,,,,,
010062,01-OCT-15,30-SEP-16,As Submitted,WIREGRASS MEDICAL CENTER                ,1200 WEST MAPLE STREET                  ,,GENEVA                                  ,AL                                      ,36340                                   ,GENEVA                                  ,,,,50446,,,.0768,,,73,26718,2823,432,4612,,162.79,,617,129,1099,9,,,,,271,
010069,01-OCT-15,30-SEP-16,As Submitted,SEAR                                    ,820 WEST WASHINGTON STREET              ,,EUFAULA                                 ,AL                                      ,36027                                   ,BARBOUR                                 ,,,,74310,,,.1164,,,30,10980,3297,617,5412,,147.21,,556,118,1082,,,,,,228,
010079,01-JAN-16,30-JUN-16,As Submitted,ATHENS LIMESTONE                        ,ATHENS LIMESTONE HOSPITAL               ,999                                     ,ATHENS                                  ,AL                                      ,35611-                                  ,LIMESTONE                               ,,,,176026,,,.12,,,71,12922,3679,1535,7996,,515.47,,890,571,2299,,,,,,,
010083,01-OCT-15,30-SEP-16,As Submitted,SOUTH BALDWIN REGIONAL MEDICAL CENTE    ,1613 NORTH MCKENZIE                     ,,FOLEY                                   ,AL                                      ,36535-                                  ,BALDWIN                                 ,,,,181758,,,.0537,,,112,40992,9650,2752,26402,,601.64,,2151,924,6505,,,,,,,
