PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-10,30-SEP-11,Amended,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,9327053,,,.1523,,,408,148920,42459,16707,90432,,2154.78,,7756,2222,17728,,,,,,247,
010005,01-OCT-10,30-SEP-11,As Submitted,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,2180271,,,.1713,,,114,41610,9132,4591,19641,,598.72,,2109,1134,5283,,,,,,,
010006,01-JUL-11,30-JUN-12,Reopened,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,3621371,,,.1025,,,358,131028,27680,8519,51598,,968.53,,5142,1935,10862,,,,,,,
010007,01-OCT-10,30-SEP-11,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,235773,,,.0579,,,78,28470,4865,773,7451,,158.45,,981,253,1692,,,,,,244,
010008,01-JAN-11,31-DEC-11,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,238552,,,.1697,,,29,10585,1566,786,3414,,107.07,,361,233,864,,,,123,,565,
010009,01-FEB-11,31-JAN-12,Reopened,HARTSELLE MEDICAL CENTER                ,201 PINE STREET NW                      ,,HARTSELLE                               ,AL                                      ,35640-                                  ,MORGAN                                  ,,,,143712,,,.0526,,,130,47450,2148,293,3153,,108.37,,572,104,967,,,,5,,378,
010010,01-OCT-10,30-SEP-11,As Submitted,MARSHALL MEDICAL CENTER - NORTH         ,8000 ALABAMA HIGHWAY 69                 ,,GUNTERSVILLE                            ,AL                                      ,35976-                                  ,MARSHALL                                ,,,,1112826,,,.0887,,,90,32850,10194,2185,18949,,477.6,,2278,482,4712,,,,,,,
010011,01-JUL-11,30-JUN-12,Settled,ST. VINCENT S EAST                      ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,1504564,,,2048503,,,.0651,744141,238608,279,102114,22844,10497,74109,15.21,1145.94,,4063,1654,13954,,,,21,2,321,275
010012,01-APR-11,31-MAR-12,Settled,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,936150,,,.12,,,97,35502,5440,2796,12487,,356.11,,1485,895,3853,,,,13,,295,
010015,01-APR-11,15-AUG-11,Settled,SOUTHWEST ALABAMA MEDICAL CENTER        ,33400 HIGHWAY 43 NORTH                  ,,THOMASVILLE                             ,AL                                      ,36784-                                  ,CLARKE                                  ,,,,11964,,,.0354,,,27,3699,295,,592,,75.03,,92,30,204,,,,,,,
