PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010006,01-JUL-10,30-JUN-11,Reopened,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO                             ,818                                     ,FLORENCE                                ,AL                                      ,35631-                                  ,LAUDERDALE                              ,,,,3313982,,,.0859,,,358,130670,29900,8242,55101,,985.6,,5237,1707,12006,,,,,,,
010011,01-JUL-10,30-JUN-11,Reopened,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,1381721,,,1675208,,,.057,811414,226049,279,104573,21746,6358,65673,14.42,1119.44,,3937,1457,13059,,,,,,17,224
010023,01-JUL-10,30-JUN-11,Settled,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2678762,,,10808215,,,.2591,617878,229442,363,132495,22671,25705,80013,41.52,1712,,5152,3786,18204,,,,,,1520,
010025,01-JUL-10,30-JUN-11,Settled,GEORGE H. LANIER HOSPITAL               ,4800 48TH STREET                        ,,VALLEY                                  ,AL                                      ,36854-                                  ,CHAMBERS                                ,,,,1062906,,,.1347,,,84,30660,8201,2489,14560,,330.86,,1331,436,2885,,,,,,,
010027,01-JUL-10,30-JUN-11,Reopened,ELBA GENERAL HOSPITAL                   ,987 DRAYTON STREET                      ,,ELBA                                    ,AL                                      ,35323                                   ,COFFEE                                  ,,,,103634,,,.12,,,20,7300,922,348,1758,,97.68,,244,148,589,,,,,,,
010035,01-JUL-10,30-JUN-11,Settled,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056-                                  ,CULLMAN                                 ,,,,2424956,,,.1137,,,115,41975,14786,5013,26730,,870.09,,3102,1770,7221,,,,,,,
010038,01-JUL-10,30-JUN-11,Settled,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,38                                      ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,1378305,,,.1052,,,125,45625,9508,1941,16899,,338,,2356,570,4660,,,,,,,
010039,01-JUL-10,30-JUN-11,Settled w/Audit,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,3270439,,,15417129,,,.1181,890745,341680,782,285430,81042,41077,207859,35.71,5083.29,,14505,7580,45038,,,,198,,1669,
010043,01-JUL-10,30-JUN-11,Settled,CHILTON MEDICAL CENTER                  ,1010 LAY DAM ROAD                       ,,CLANTON                                 ,AL                                      ,35045                                   ,CHILTON                                 ,,,,41297,,,.0301,,,27,9855,1340,109,2724,,117.98,,276,63,629,,,,,,,
010046,01-JUL-10,30-JUN-11,Reopened,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 SOUTH 3RD STREET                    ,268                                     ,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,1690638,,,.0601,,,256,93440,25288,4065,41721,,584,,4102,718,7547,,,,,,309,
010050,01-JUL-10,30-JUN-11,Settled,ST. VINCENT S BLOUNT                    ,150 GILBREATH DRIVE                     ,1000                                    ,ONEONTA                                 ,AL                                      ,35121-                                  ,BLOUNT                                  ,,,,221400,,,.0854,,,40,14600,2246,550,4981,,154.13,,531,177,1359,,,,,,,
