PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-12,30-SEP-13,As Submitted,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,8452291,,,.1315,,,408,148920,46186,15850,94243,,2271,,7941,3019,17956,,,,,,261,
010005,01-OCT-12,30-SEP-13,Settled,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,3052099,,,.1186,,,204,74460,18969,6484,38225,,1070.64,,4085,1544,9479,,,,,,,
010006,01-JUL-13,30-JUN-14,Settled,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,1498499,,,.0827,,,358,130670,30673,8302,56768,,974.81,,5783,1841,11805,,,,,,,
010007,01-OCT-12,30-SEP-13,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,137657,,,.048,,,45,16425,3016,463,4350,,145.67,,652,144,1080,,,,12,,285,
010008,01-JAN-13,31-DEC-13,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,120278,,,.1156,,,29,10614,1022,320,2164,,106.7,,217,166,524,,,,104,,613,
010011,01-JUL-13,30-JUN-14,Amended,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,1616344,,,1335448,,,.0936,745283,247270,313,114245,25366,12907,83212,14.55,1136.42,,3986,2040,15022,,,,21,8,441,226
010012,01-APR-13,31-MAR-14,Settled,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,505541,,,.12,,,97,35405,4899,2733,11696,,357.23,,1188,783,3206,,,,17,,319,
010016,01-JAN-13,31-DEC-13,Settled,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,1640000,,,.078,,,203,74240,17629,8733,53709,,845.19,,3459,2212,11440,,,,,,349,
010018,01-OCT-12,31-DEC-12,Settled,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,15377,,,,,,,6517,93747,12,1104,33,6,52,7.38,174.77,,10,2,17,,,,,,,
010018,01-JAN-13,30-SEP-13,Settled,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,37216,,,,,,,10126,225306,12,3276,69,5,147,7.52,184.21,,21,1,47,,,,,,,
010019,01-OCT-12,30-SEP-13,Settled,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,3242690,,,.1731,,,185,67525,14754,8182,32477,,628.11,,3114,2455,7745,,,,,,,
010021,01-OCT-12,30-SEP-13,Settled,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,525207,,,.12,,,77,28105,3506,1932,8605,,287.23,,737,403,1811,,,,27,,317,
010022,01-APR-13,31-MAR-14,Reopened,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,295095,,,.2129,,,45,16425,2914,788,4355,,115,,458,169,816,,,,,,,
010023,01-JUL-13,30-JUN-14,As Submitted,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2391400,,,4424422,,,.2628,459484,554645,363,132495,21034,25260,77158,50.22,1919,,4542,4109,15376,,,,660,,2093,
010024,01-JAN-13,31-DEC-13,Settled,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,3456058,,,.1193,,,255,93075,25653,11146,62908,,1230.58,,4593,2895,13590,,,,,,,
010025,01-JUL-13,31-JAN-14,Settled,GEORGE H. LANIER HOSPITAL               ,4800 48TH STREET                        ,,VALLEY                                  ,AL                                      ,36854                                   ,CHAMBERS                                ,,,,342557,,,.1764,,,84,18060,3934,1575,7781,,449.53,,584,239,1492,,,,,,,
010029,01-OCT-12,30-SEP-13,Settled,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,6290906,,,.149,,,262,95630,28147,13187,63237,,1891.93,,5090,2382,14634,,,,,,,
010032,01-OCT-12,30-SEP-13,Settled,WEDOWEE HOSPITAL                        ,301 NORTH MAIN STREET                   ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,168530,,,.108,,,34,12410,1793,283,2633,,79.92,,386,68,627,,,,,,,
010033,01-OCT-12,30-SEP-13,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,24550301,,,27027739,,,.2192,6926941,1876598,971,354415,74530,84439,291044,830.04,7304,,12020,12437,43166,,,,,118,2619,911
010034,01-OCT-12,30-SEP-13,Settled,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,280512,,,.0834,,,37,13505,2960,745,5804,,229.6,,612,141,1263,,,,1,,167,
010035,01-JUL-13,30-JUN-14,Settled,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,715027,,,.0865,,,115,41975,11451,3009,21682,,777,,2882,1424,6387,,,,,,,
010036,01-APR-13,31-MAR-14,Settled,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,795551,,,.1799,,,88,32120,5651,2335,10877,,238.37,,1373,614,2999,,,,,,,
010038,01-JUL-13,30-JUN-14,Settled,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,38                                      ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,274333,,,.0742,,,125,45625,6078,1369,11430,,248.45,,1406,489,2986,,,,,,,
010039,01-JUL-13,30-JUN-14,As Submitted,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,5331100,,,6942213,,,.1188,1500812,661897,839,306235,80257,43490,210158,58.16,5104.88,,14846,,44813,,,,,,1572,
010040,01-OCT-12,30-SEP-13,Settled,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35999                                   ,ETOWAH                                  ,,,,5141406,,,.1348,,,261,95398,30690,13418,65727,,1020,,5007,2282,12910,,,,11,,282,
010044,01-OCT-12,30-SEP-13,Settled,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,100370,,,.0457,,,36,13140,2055,161,2943,,137.72,,443,67,747,,,,,,,
010045,01-OCT-12,30-SEP-13,Settled,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,322289,,,.0909,,,42,15330,4770,450,6458,,301.46,,736,151,1184,,,,,,,
010046,01-JUL-13,30-JUN-14,Settled,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 S 3RD STREET                        ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,839003,,,.0925,,,256,93440,18353,3498,33476,,472.02,,2871,509,5613,,,,,,279,
010047,01-DEC-12,31-DEC-13,Reopened,GEORGIANA HOSPITAL                      ,515 MIRANDA STREET                      ,,GEORGIANA                               ,AL                                      ,36033                                   ,BUTLER                                  ,,,,128762,,,.0905,,,22,8712,1526,298,2247,,53.04,,434,130,710,,,,,,,
010049,01-JAN-13,31-DEC-13,Settled,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,620981,,,.12,,,117,42705,4155,3078,11517,,339.51,,1188,848,3231,,,,,,,
010051,01-OCT-12,30-SEP-13,Settled,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,117686,,,.12,,,24,8760,785,287,1322,,73.77,,231,98,419,,,,,,,
010052,01-JAN-13,31-DEC-13,Settled,LAKE MARTIN COMMUNITY HOSPITAL          ,1231 SOUTH STREET                       ,,DADEVILLE                               ,AL                                      ,36853                                   ,TALLAPOOSA                              ,,,,88539,,,.0693,,,46,16790,1197,235,2233,,66.1,,398,87,745,,,,,,,
010054,01-JAN-13,31-DEC-13,Settled,PARKWAY MEDICAL CENTER                  ,1874 BELTLINE ROAD S.W.                 ,,DECATUR                                 ,AL                                      ,35601                                   ,MORGAN                                  ,,,,210342,,,.0593,,,120,43800,3216,473,5928,,213.01,,820,132,1560,,,,,,,
010055,01-JUL-13,30-JUN-14,Settled,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,881733,,,.0613,,,235,85775,24103,6586,49586,,,,4570,1232,10592,,,,,,,
010056,01-JUL-13,30-JUN-14,Settled,ST VINCENTS BIRMINGHAM                  ,810 ST VINCENTS DRIVE                   ,,BIRMINGHAM                              ,AL                                      ,35205-                                  ,JEFFERSON                               ,132114,,,,,,,43178,19766,442,161330,33396,8107,106012,1,1855.17,,6097,1042,19805,,,,,,,
010058,01-OCT-12,30-SEP-13,Settled,BIBB MEDICAL CENTER                     ,165 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,,,,,,,25,9125,2168,181,3159,,109.23,,145,13,253,,,,,,,
010059,01-OCT-12,30-SEP-13,Settled,LAWRENCE MEDICAL CENTER                 ,202 HOSPITAL STREET                     ,,MOULTON                                 ,AL                                      ,35650-                                  ,LAWRENCE                                ,,,,259507,,,.0863,,,43,15695,2814,375,4157,,150.63,,545,118,925,,,,,,,
010061,01-OCT-12,30-SEP-13,Settled,HIGHLANDS MEDICAL CENTER                ,380 WOODS COVE ROAD                     ,1050                                    ,SCOTTSBORO                              ,AL                                      ,35768-                                  ,JACKSON                                 ,,,,1015658,,,.12,,,170,62050,8023,3083,14733,,380.49,,1875,1218,4051,,,,,,,
010062,01-OCT-12,30-SEP-13,Settled,WIREGRASS MEDICAL CENTER                ,1200 WEST MAPLE STREET                  ,,GENEVA                                  ,AL                                      ,36340                                   ,GENEVA                                  ,,,,248181,,,.0864,,,73,26645,3151,624,5132,,212.32,,614,146,1159,,,,,,305,
010065,01-JAN-13,31-DEC-13,As Submitted,RUSSELL MEDICAL CENTER                  ,C                                       ,939                                     ,ALEXANDER CITY                          ,AL                                      ,35010                                   ,TALLAPOOSA                              ,,,,1153723,,,.1291,,,75,27375,5908,1866,11385,,459.22,,1586,637,3068,,,,,,,
010069,01-OCT-12,30-SEP-13,Settled,SEAR                                    ,820 WEST WASHINGTON STREET              ,,EUFAULA                                 ,AL                                      ,36027                                   ,BARBOUR                                 ,,,,356991,,,.12,,,30,10950,2716,506,4904,,151.75,,619,151,1269,,,,,,203,
