PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-13,30-SEP-14,As Submitted,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,2316152,,,.1394,,,398,139065,46147,16111,94934,,2405.8,,8471,2907,18489,,,,,,264,
010005,01-OCT-13,30-SEP-14,Settled,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,747488,,,.124,,,204,74460,18335,5861,37535,,1074.47,,3947,1449,8849,215,,,,,,
010006,01-JUL-14,30-JUN-15,Amended,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,764101,,,.0702,,,358,130670,32513,8576,61093,,990.49,,5874,1734,13544,38,,,,,,
010007,01-OCT-13,30-SEP-14,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,39200,,,.0511,,,45,16425,3331,421,5123,,145.46,,708,158,1573,,,,16,,306,
010008,01-JAN-14,31-DEC-14,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,34056,,,.1365,,,29,10585,1148,97,1866,,106.7,,238,41,352,,,,130,,568,
010011,01-JUL-14,30-JUN-15,Amended,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,1623822,,,934860,,,.1135,702287,236520,313,114245,24649,13340,85909,14.15,1121.3,,4135,2061,15186,,,,19,10,402,281
010012,01-APR-14,31-MAR-15,Settled,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,175398,,,.12,,,97,35405,4415,3084,11338,,353.71,,1067,763,3145,,,,25,,306,
010016,01-JAN-14,31-DEC-14,Settled,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,531379,,,.0844,,,212,77380,16947,8953,54312,,856.62,,3262,2164,11158,,,,,,536,
010018,01-OCT-13,30-SEP-14,Settled,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,49337,,,,,,,24124,289299,12,4380,87,11,188,7.51,147.6,,25,4,57,,,,,,,
010019,01-OCT-13,30-SEP-14,Settled,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,665331,,,.149,,,185,67525,13689,6541,27858,,633.54,,2871,2241,6704,,,,,,,
010021,01-OCT-13,30-SEP-14,Settled,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,118212,,,.12,,,77,28105,3220,1720,8202,,288.98,,680,425,1806,,,,29,,253,
010022,01-APR-14,31-MAR-15,Settled,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,113927,,,.2224,,,45,16425,2803,878,4851,,106.98,,410,177,768,,,,,,,
010023,01-JUL-14,30-JUN-15,Amended,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2211026,,,2400416,,,.2453,452211,493932,336,122616,22113,27081,80438,51.94,1617.12,,4594,5065,15851,,,,652,,1922,
010024,01-JAN-14,31-DEC-14,Settled,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,1017113,,,.1096,,,255,93075,24751,10265,63304,,1173.49,,4654,2627,13944,,,,,,,
010029,01-OCT-13,30-SEP-14,Amended,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,1321214,,,.1195,,,266,97090,32274,13948,72603,,2102.61,,5735,3577,16448,,,,,,,
010032,01-OCT-13,30-SEP-14,Settled,WEDOWEE HOSPITAL                        ,301 NORTH MAIN STREET                   ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,17930,,,.0741,,,34,12410,1067,227,2268,,71.26,,229,58,460,,,,,,,
010033,01-OCT-13,30-SEP-14,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,25762555,,,6533370,,,.2116,6939623,2542964,991,361715,72901,80730,289337,530.64,7835,,11273,11300,40166,,,,,120,2787,1052
010034,01-OCT-13,30-SEP-14,Settled,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,61146,,,.0689,,,37,13505,3020,664,5813,,229.6,,639,145,1346,,,,6,,195,
010035,01-JUL-14,30-JUN-15,As Submitted,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,539932,,,.1049,,,115,41975,13190,3187,24053,,769.32,,3134,1508,6893,,,,,,,
010036,01-APR-14,31-MAR-15,As Submitted,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,355585,,,.1921,,,88,32120,5884,2371,11721,,238.87,,1417,723,3160,124,,,,,,
010038,01-JUL-14,30-JUN-15,Settled,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,38                                      ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,165092,,,.0779,,,125,45625,5863,1230,10772,,243.68,,1460,438,2969,,,,,,,
010039,01-JUL-14,30-JUN-15,Amended,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,6208872,,,3870141,,,.111,1512792,688314,851,310615,84375,44463,223236,58.61,5479.26,,15555,8047,47089,,,,243,,1666,
010040,01-OCT-13,30-SEP-14,As Submitted,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35999                                   ,ETOWAH                                  ,,,,1326526,,,.1359,,,238,86870,30681,13374,68295,,1103,,5158,2365,13457,,,,9,,329,
010044,01-OCT-13,30-SEP-14,Settled,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,11283,,,.051,,,36,13140,1686,44,2122,,108.67,,184,20,290,,,,,,,
010045,01-OCT-13,30-SEP-14,Settled,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,29686,,,.0418,,,42,15330,4275,303,5671,,180.69,,569,,885,,,,,,,
010046,01-JUL-14,28-FEB-15,Amended,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 S 3RD STREET                        ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,229729,,,.0679,,,256,62208,13017,2487,24849,,498.05,,1939,452,4021,,,,2,,151,
010047,01-JAN-14,31-DEC-14,Settled,GEORGIANA HOSPITAL                      ,515 MIRANDA STREET                      ,,GEORGIANA                               ,AL                                      ,36033                                   ,BUTLER                                  ,,,,25141,,,.0679,,,22,8030,1317,218,1794,,46.3,,411,94,636,,,,,,,
010049,01-JAN-14,31-DEC-14,Amended,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,165244,,,.12,,,117,42705,3449,2920,10214,,328.55,,1091,837,3291,,,,,,,
010051,01-OCT-13,30-SEP-14,Settled,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,26649,,,.12,,,20,7300,710,279,1234,,95.54,,214,93,387,,,,,,,
