PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010001,01-OCT-14,30-SEP-15,Amended,SOUTHEAST ALABAMA MEDICAL CENTER        ,1108 ROSS CLARK CIRCLE                  ,6987                                    ,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,1724846,223358,,.1234,,,400,146000,43678,9014,89693,,2379.5,,8329,2849,18484,,,,,,,
010005,01-OCT-14,30-SEP-15,Amended,MARSHALL MEDICAL CENTER - SOUTH         ,2505 U.S. HIGHWAY 431                   ,,BOAZ                                    ,AL                                      ,35957-                                  ,MARSHALL                                ,,,,759266,,,.1272,,,204,74460,18262,6598,38465,,1068.4,,3739,1383,9368,254,,,,,,
010006,01-JUL-15,30-JUN-16,As Submitted,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO STREET                      ,818                                     ,FLORENCE                                ,AL                                      ,35630                                   ,LAUDERDALE                              ,,,,858698,,,.0779,,,358,131028,31296,9073,60737,,971.12,,5977,2025,12713,50,,,,,,
010007,01-OCT-14,30-SEP-15,As Submitted,MIZELL MEMORIAL HOSPITAL                ,702 MAIN STREET                         ,429                                     ,OPP                                     ,AL                                      ,36462-                                  ,COVINGTON                               ,,,,27272,,,.0301,,,45,16425,3448,517,5108,,135.31,,813,198,1379,,,,20,,305,
010008,01-JAN-15,31-DEC-15,As Submitted,CRENSHAW COMMUNITY HOSPITAL             ,CRENSHAW COMMUNITY HOSPITAL             ,101 HOSPITAL CIRCLE                     ,LUVERNE                                 ,AL                                      ,36049                                   ,CRENSHAW                                ,,,,27920,,,.1277,,,29,10585,939,192,1836,,82.71,,218,77,352,,,,160,,568,
010011,01-JUL-15,30-JUN-16,As Submitted,ST. VINCENTS EAST                       ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,843676,,,826827,,,.1054,694969,222913,313,114558,24225,12303,86386,13.73,1133.02,,3949,2026,15226,,,,23,11,385,323
010012,01-APR-15,31-MAR-16,As Submitted,DEKALB REGIONAL MEDICAL CENTER          ,200 MEDICAL CENTER DRIVE                ,,FORT PAYNE                              ,AL                                      ,35967                                   ,DEKALB                                  ,,,,171851,,,.12,,,97,35502,4129,3294,11323,,359.47,,1022,846,3161,,,,,,280,
010016,01-JAN-15,02-OCT-15,As Submitted,SHELBY BAPTIST MEDICAL CENTER           ,1000 FIRST STREET NORTH                 ,,ALABASTER                               ,AL                                      ,35007                                   ,SHELBY                                  ,,,,325695,,,.0668,,,212,58300,13011,5998,40503,1.56,852.8,,2441,1620,9401,,,,,,925,
010018,01-OCT-14,30-SEP-15,As Submitted,CALLAHAN EYE FOUNDATION HOSP            ,1720 UNIVERSITY BOULEVARD               ,,BIRMINGHAM                              ,AL                                      ,35233-                                  ,JEFFERSON                               ,39878,,,,,,,15904,315762,12,4380,89,15,196,7.93,182.93,,27,5,63,,,,,,,
010019,01-OCT-14,31-DEC-14,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,167819,,,.1583,,,185,17020,2955,1513,6455,,524.88,,663,540,1589,,,,,,,
010019,01-JAN-15,30-SEP-15,As Submitted,HELEN KELLER HOSPITAL                   ,1300 SOUTH MONTGOMERY AVENUE            ,610                                     ,SHEFFIELD                               ,AL                                      ,35660-                                  ,COLBERT                                 ,,,,541431,,,.1539,,,185,50505,10599,5053,22281,,68.1,,2359,1692,5359,,,,,,,
010021,01-OCT-14,30-SEP-15,Amended,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,119749,,,.12,,,77,28105,3332,2069,8336,,287.19,,700,410,1641,,,,29,,273,
010022,01-APR-15,31-MAR-16,As Submitted,CHEROKEE MEDICAL CENTER                 ,100 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,112626,,,.2963,,,45,16470,2588,747,4779,,107.42,,287,170,673,,,,,,,
010023,01-JUL-15,30-JUN-16,As Submitted,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2696665,,,2441887,,,.2232,534346,530755,329,120414,25640,26360,86443,44.8,1704.15,,5047,4797,16403,,,,499,,2018,
010024,01-JAN-15,31-DEC-15,As Submitted,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,1111489,,,.1161,,,255,93075,26110,11281,66658,,1202.68,,4868,2179,13536,,,,,,,
010029,01-OCT-14,30-SEP-15,As Submitted,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,1598352,,,.1331,,,332,121180,40918,14973,79137,,2254.61,,6163,3133,15846,,,,,,,
010032,01-OCT-14,30-SEP-15,As Submitted,WEDOWEE HOSPITAL                        ,301 NORTH MAIN STREET                   ,,WEDOWEE                                 ,AL                                      ,36278                                   ,RANDOLPH                                ,,,,8699,,,.0474,,,34,12410,841,114,1535,,72.21,,188,39,381,,,,,,,
010033,01-OCT-14,30-SEP-15,Amended,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,21143882,,,6752134,,,.199,7638546,2917895,1017,371554,79361,83338,304948,546.72,7836,,12386,12100,43121,,,,,173,2641,1121
010034,01-OCT-14,30-SEP-15,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,56371,,,.089,,,37,13505,2305,578,5111,,160.03,,492,153,1154,,,,6,,146,
010035,01-JUL-15,30-JUN-16,As Submitted,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,432219,,,.0805,,,115,42090,14138,3666,27014,,816.34,,3295,1510,7495,,,,,,,
010036,01-APR-15,31-MAR-16,As Submitted,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,370953,,,.2152,,,88,32208,5199,2647,10310,,237.78,,1325,636,2936,,,,,,,
010038,01-JUL-15,30-JUN-16,As Submitted,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,38                                      ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,165021,,,.0823,,,125,45750,5601,1329,10826,,254.2,,1432,450,3021,,,,,,,
010039,01-JUL-15,30-JUN-16,As Submitted,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,4904650,,,3860776,,,.1081,1529069,666507,866,316956,86617,45772,234439,57.75,5846.09,,15923,6858,44554,,,,233,,1614,
010040,01-OCT-14,30-SEP-15,As Submitted,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35999                                   ,ETOWAH                                  ,,,,1224402,,,.1222,,,231,84159,30430,12184,70327,,1079.92,,5271,2356,14151,,,,9,,335,
010044,01-OCT-14,30-SEP-15,As Submitted,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,5773,,,.0236,,,35,12652,2937,43,3363,,105.68,,222,18,300,,,,,,,
010045,01-OCT-14,30-SEP-15,As Submitted,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,60533,,,.0796,,,42,15330,4509,287,5641,,180.69,,576,,1024,,,,,,,
010046,01-MAR-15,31-DEC-15,As Submitted,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 S 3RD STREET                        ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,420230,,,.0859,,,256,78336,14139,3430,28149,,518.63,,2712,809,6256,,,,8,,139,
010047,01-JAN-15,31-DEC-15,As Submitted,GEORGIANA HOSPITAL                      ,515 MIRANDA STREET                      ,,GEORGIANA                               ,AL                                      ,36033                                   ,BUTLER                                  ,,,,27998,,,.0883,,,22,8030,1108,197,1515,,44.9,,350,62,529,,,,,,,
010049,01-JAN-15,31-DEC-15,As Submitted,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,158502,,,.12,,,117,42705,3009,3564,10148,,331.54,,967,941,3343,,,,,,,
010051,01-OCT-14,30-SEP-15,As Submitted,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,25151,,,.12,,,20,7300,591,208,981,,107.03,,161,73,288,,,,,,,
010052,01-JAN-15,31-DEC-15,As Submitted,LAKE MARTIN COMMUNITY HOSPITAL          ,1231 SOUTH STREET                       ,,DADEVILLE                               ,AL                                      ,36853                                   ,TALLAPOOSA                              ,,,,30883,,,.0793,,,46,16790,1102,200,1703,,67.98,,355,76,624,,,,,,,
